ID,ID_Cliente,ID_Tipo_de_impressora,Duracao_em_meses,Valor_Total
1,2151,Brother 8952dw,1,1004.74
2,8815,HP P2055dn,1,500.08
3,2940,HP 1015,3,1504.9499999999998
4,3788,HP MFP M225dw,2,1988.04
5,8861,Brother 8952dw,3,3014.2200000000003
6,9845,Kyocera M2040dn,1,500
7,8883,HP P2055dn,3,1500.24
8,160,Brother L5652dn,1,9996.05
9,2968,Kyocera M2040dn,2,1000
10,1101,HP M1212nf,1,997.63
11,6666,Brother 7065dn,2,1998.5
12,8420,Brother 7065dn,3,2997.75
13,2061,Brother 7065dn,3,2997.75
14,3728,HP P1606dn,2,500
15,223,HP P1606dn,1,250
16,7402,HP Pro M201dw,2,500
17,7343,HP P2055dn,2,1000.16
18,1330,Brother L5652dn,2,19992.1
19,3262,Brother 8952dw,3,3014.2200000000003
20,5857,Brother 7065dn,2,1998.5
21,1183,HP M1212nf,3,2992.89
22,7441,Brother L5652dn,3,29988.149999999998
23,7746,HP Pro M127fn,1,1004.15
24,1975,Kyocera M2040dn,3,1500
25,8534,HP P2055dn,1,500.08
26,6787,HP Pro M127fn,3,3012.45
27,706,Kyocera M2040dn,2,1000
28,1797,Brother L5652dn,3,29988.149999999998
29,7423,Brother 8952dw,1,1004.74
30,7249,HP P2055dn,2,1000.16
31,9280,HP P1606dn,2,500
32,8263,HP 1015,2,1003.3
33,394,HP M1212nf,3,2992.89
34,400,HP M1212nf,1,997.63
35,5489,HP P2055dn,2,1000.16
36,8849,HP 1015,2,1003.3
37,8069,Brother 7065dn,2,1998.5
38,7744,HP M1212nf,3,2992.89
39,7810,Brother 8157dn,3,1500
40,902,Brother 8952dw,2,2009.48
41,1078,Brother 8952dw,3,3014.2200000000003
42,5565,HP P2055dn,2,1000.16
43,4489,Brother 8157dn,2,1000
44,9733,HP 1015,1,501.65
45,982,HP M1212nf,1,997.63
46,9209,Brother 8952dw,2,2009.48
47,4872,Brother 8952dw,3,3014.2200000000003
48,1962,Brother L5652dn,3,29988.149999999998
49,6300,HP 1015,1,501.65
50,4305,HP P2055dn,2,1000.16
51,2670,HP MFP M225dw,1,994.02
52,4853,Kyocera M2040dn,3,1500
53,4150,Kyocera M2040dn,3,1500
54,8116,HP Pro M127fn,1,1004.15
55,6570,HP MFP M225dw,3,2982.06
56,5232,HP MFP M225dw,3,2982.06
57,9491,Brother 8157dn,3,1500
58,8385,HP 1015,3,1504.9499999999998
59,7670,HP Pro M127fn,2,2008.3
60,217,Brother 7065dn,3,2997.75
61,4928,Brother 8157dn,1,500
62,6056,Brother 7065dn,3,2997.75
63,4140,HP Pro M127fn,1,1004.15
64,6648,HP M1212nf,1,997.63
65,8900,Brother L5652dn,2,19992.1
66,360,Brother 8952dw,3,3014.2200000000003
67,1964,HP Pro M201dw,3,750
68,4597,Brother 8952dw,2,2009.48
69,5355,Kyocera M2040dn,3,1500
70,3831,Brother 8157dn,3,1500
71,615,Brother 8157dn,3,1500
72,5875,HP Pro M127fn,3,3012.45
73,1300,Brother 8157dn,3,1500
74,9988,HP Pro M201dw,1,250
75,8845,HP 1015,2,1003.3
76,6661,Brother 8952dw,3,3014.2200000000003
77,7880,Brother 7065dn,3,2997.75
78,2987,HP 1015,3,1504.9499999999998
79,1053,Brother 7065dn,3,2997.75
80,647,Brother 8157dn,2,1000
81,7396,Brother 8157dn,1,500
82,2205,HP M1212nf,1,997.63
