ID,ID_Cliente,ID_Tipo_de_impressora,Duracao_em_meses,Valor_Total
1,5916,Brother 7065dn,3,2997.75
2,5402,HP MFP M225dw,3,2982.06
3,6689,HP P2055dn,3,1500.24
4,9776,HP M1212nf,3,2992.89
5,1228,HP M1212nf,2,1995.26
6,9392,HP 1015,3,1504.9499999999998
7,3845,Kyocera M2040dn,2,1000
8,3827,HP P2055dn,3,1500.24
9,8760,Brother 8157dn,3,1500
10,5027,Brother 7065dn,3,2997.75
11,9838,HP 1015,3,1504.9499999999998
12,371,HP 1015,3,1504.9499999999998
13,5859,HP 1015,1,501.65
14,791,Brother 8157dn,2,1000
15,5057,HP Pro M127fn,2,2008.3
16,9433,Kyocera M2040dn,2,1000
17,8479,HP Pro M127fn,3,3012.45
18,9175,Brother 7065dn,1,999.25
19,3484,HP MFP M225dw,3,2982.06
20,7783,HP MFP M225dw,3,2982.06
21,2726,HP M1212nf,3,2992.89
22,1716,HP 400M425dn,2,2000
23,3409,Brother 8157dn,3,1500
24,4280,HP 1015,3,1504.9499999999998
25,7923,HP 400M425dn,3,3000
26,7115,HP P2055dn,2,1000.16
27,5567,Brother L5652dn,1,9996.05
28,6890,HP 1015,3,1504.9499999999998
29,5693,HP 1015,3,1504.9499999999998
30,3707,Kyocera M2040dn,3,1500
31,6943,HP Pro M127fn,1,1004.15
32,7151,HP M1212nf,1,997.63
33,9474,Brother 7065dn,3,2997.75
34,6454,Brother 8952dw,3,3014.2200000000003
35,8022,Brother 8952dw,2,2009.48
36,4592,HP P2055dn,3,1500.24
37,171,HP P2055dn,3,1500.24
38,5304,HP 1015,2,1003.3
39,9630,HP Pro M201dw,3,750
40,7799,HP Pro M127fn,3,3012.45
41,5072,Brother 8952dw,3,3014.2200000000003
42,6309,HP P2055dn,2,1000.16
43,9394,Brother 8157dn,2,1000
44,4504,HP M1212nf,1,997.63
45,1633,HP P1606dn,2,500
46,622,Brother 7065dn,3,2997.75
47,7960,Brother 7065dn,2,1998.5
48,4186,HP Pro M201dw,3,750
49,492,HP P2055dn,3,1500.24
50,9087,Brother 8157dn,3,1500
51,2389,HP 1015,1,501.65
52,5475,HP P2055dn,3,1500.24
53,2758,HP 400M425dn,3,3000
54,8661,Brother 8157dn,1,500
55,1972,HP M1212nf,3,2992.89
56,5471,Brother 7065dn,3,2997.75
57,3203,HP P2055dn,2,1000.16
58,2862,Brother 8157dn,2,1000
59,3110,HP P2055dn,3,1500.24
60,4622,Brother 8157dn,1,500
61,4808,Brother L5652dn,3,29988.149999999998
62,7140,Kyocera M2040dn,3,1500
63,1400,Brother L5652dn,3,29988.149999999998
64,5997,HP MFP M225dw,2,1988.04
65,7406,Brother L5652dn,2,19992.1
66,9833,Brother 8952dw,3,3014.2200000000003
67,4777,HP MFP M225dw,1,994.02
68,2749,Brother L5652dn,2,19992.1
69,4560,Kyocera M2040dn,1,500
70,8460,Brother L5652dn,3,29988.149999999998
71,5256,HP P2055dn,3,1500.24
72,8171,HP M1212nf,3,2992.89
73,9082,Brother 7065dn,2,1998.5
74,6396,Brother L5652dn,3,29988.149999999998
75,2058,Kyocera M2040dn,3,1500
76,3649,HP MFP M225dw,1,994.02
77,8598,Brother 7065dn,3,2997.75
78,1916,HP P2055dn,3,1500.24
79,6035,Brother 8157dn,3,1500
80,825,HP M1212nf,3,2992.89
81,2695,Brother 8157dn,3,1500
82,8483,Brother 8952dw,3,3014.2200000000003
83,5092,HP P2055dn,1,500.08
84,7610,Brother 7065dn,1,999.25
85,6687,Brother L5652dn,3,29988.149999999998
86,7399,Brother 8157dn,2,1000
87,8080,Brother 7065dn,3,2997.75
88,2435,Brother 7065dn,2,1998.5
89,575,Brother 7065dn,1,999.25
90,1483,Kyocera M2040dn,3,1500
91,2451,HP M1212nf,3,2992.89
92,9183,HP M1212nf,2,1995.26
93,548,Brother 8157dn,1,500
94,7169,HP M1212nf,3,2992.89
95,4818,Brother 8157dn,3,1500
96,3665,HP P2055dn,3,1500.24
97,4703,HP P2055dn,3,1500.24
98,8953,HP Pro M127fn,3,3012.45
99,1927,HP P2055dn,1,500.08
100,3444,Brother 8157dn,1,500
101,9860,HP 1015,3,1504.9499999999998
102,7358,Brother 7065dn,3,2997.75
103,7416,Brother L5652dn,3,29988.149999999998
104,9108,HP Pro M127fn,2,2008.3
105,8886,Brother 8157dn,3,1500
106,1128,HP Pro M201dw,3,750
107,4566,HP M1212nf,2,1995.26
108,7405,Brother L5652dn,3,29988.149999999998
109,5888,HP Pro M127fn,2,2008.3
110,8568,Brother L5652dn,1,9996.05
111,7228,HP 400M425dn,3,3000
112,5125,HP 400M425dn,2,2000
113,8277,Brother 7065dn,1,999.25
114,1928,Brother 8157dn,3,1500
115,8601,Brother 8952dw,3,3014.2200000000003
116,8039,HP M1212nf,3,2992.89
117,4013,Brother 7065dn,1,999.25
118,2221,HP P1606dn,2,500
119,2391,HP P2055dn,3,1500.24
120,6073,HP M1212nf,3,2992.89
121,2988,Brother L5652dn,3,29988.149999999998
122,4295,Brother 8157dn,3,1500
123,1396,Kyocera M2040dn,3,1500
124,4062,Brother 7065dn,2,1998.5
125,7415,HP M1212nf,3,2992.89
126,7271,HP 1015,2,1003.3
127,3002,HP P2055dn,2,1000.16
128,8682,Kyocera M2040dn,3,1500
129,2301,Brother L5652dn,3,29988.149999999998
130,3889,HP 1015,3,1504.9499999999998
131,8845,Brother 8952dw,3,3014.2200000000003
