ID,ID_Tipo_de_impressora,Ultima_manutencao,Data_de_aquisicao,Disponibilidade,Em_uso,Possui_defeito
1,Brother 7065dn,2/9/2024,28/4/2022,Sim,Não,Não
2,HP P2055dn,25/8/2024,7/7/2020,Sim,Não,Não
3,HP MFP M225dw,23/3/2024,18/12/2021,Não,Sim,Não
4,HP Pro M127fn,10/8/2024,22/7/2022,Não,Não,Sim
5,HP M1212nf,23/10/2024,13/4/2021,Sim,Não,Não
6,HP P2055dn,12/12/2024,23/11/2022,Sim,Não,Não
7,Kyocera M2040dn,27/4/2024,6/1/2021,Sim,Não,Não
8,Brother 7065dn,4/1/2024,14/8/2022,Sim,Não,Não
9,HP Pro M127fn,26/6/2024,5/9/2022,Sim,Não,Não
10,HP P2055dn,17/8/2024,25/6/2021,Não,Sim,Não
11,Brother L5652dn,16/2/2024,4/11/2023,Sim,Não,Não
12,Brother 8157dn,26/1/2024,18/3/2023,Não,Não,Sim
13,HP M1212nf,8/10/2024,22/6/2023,Não,Não,Sim
14,Brother 8157dn,19/1/2024,24/1/2022,Não,Sim,Não
15,HP P2055dn,26/9/2024,7/3/2023,Sim,Não,Não
16,HP 1015,26/9/2024,1/6/2023,Sim,Não,Não
17,HP 400M425dn,19/1/2024,16/1/2023,Não,Não,Sim
18,HP MFP M225dw,26/5/2024,5/11/2022,Sim,Não,Não
19,HP M1212nf,16/8/2024,16/7/2021,Sim,Não,Não
20,Brother 8157dn,10/5/2024,21/9/2023,Sim,Não,Não
21,Brother 8157dn,20/3/2024,21/5/2023,Sim,Não,Não
22,Brother L5652dn,5/4/2024,10/6/2023,Sim,Não,Não
23,HP Pro M201dw,12/9/2024,15/2/2023,Sim,Não,Não
24,HP P2055dn,18/8/2024,8/8/2020,Sim,Não,Não
25,HP Pro M201dw,4/2/2024,9/7/2022,Sim,Não,Não
26,HP P2055dn,8/7/2024,5/2/2020,Sim,Não,Não
27,HP M1212nf,10/7/2024,4/11/2021,Sim,Não,Não
28,Brother L5652dn,23/3/2024,25/8/2020,Sim,Não,Não
29,HP Pro M127fn,9/5/2024,21/6/2021,Não,Sim,Sim
30,HP 400M425dn,12/10/2024,5/11/2020,Sim,Não,Não
31,Brother 8157dn,4/7/2024,3/9/2023,Sim,Não,Não
32,Brother L5652dn,26/6/2024,21/9/2023,Sim,Não,Não
33,HP 1015,9/12/2024,3/1/2020,Sim,Não,Não
34,Kyocera M2040dn,24/9/2024,19/12/2022,Sim,Não,Não
35,Brother 8952dw,23/3/2024,24/5/2023,Sim,Não,Não
36,Brother 8952dw,5/1/2024,13/10/2022,Sim,Não,Não
37,HP P2055dn,21/4/2024,5/10/2022,Sim,Não,Não
38,HP 400M425dn,4/6/2024,8/6/2020,Não,Sim,Não
39,Kyocera M2040dn,26/12/2024,11/4/2021,Sim,Não,Não
40,HP MFP M225dw,11/11/2024,9/10/2020,Sim,Não,Não
41,Brother 8952dw,9/5/2024,9/2/2021,Sim,Não,Não
42,Brother 8157dn,3/11/2024,10/11/2021,Sim,Não,Não
43,HP P2055dn,17/12/2024,8/6/2020,Não,Sim,Não
44,Brother 7065dn,21/3/2024,14/1/2023,Sim,Não,Não
45,Brother 8157dn,8/5/2024,21/1/2022,Sim,Não,Não
46,HP MFP M225dw,8/12/2024,17/11/2021,Sim,Não,Não
47,Kyocera M2040dn,23/9/2024,2/9/2023,Sim,Não,Não
48,Kyocera M2040dn,23/11/2024,8/6/2023,Não,Sim,Não
49,HP P2055dn,10/4/2024,24/12/2020,Sim,Não,Não
50,Brother 7065dn,8/3/2024,24/8/2023,Sim,Não,Não
51,Brother 7065dn,16/8/2024,9/5/2020,Sim,Não,Não
52,HP MFP M225dw,17/12/2024,10/11/2023,Sim,Não,Não
53,Brother 7065dn,12/12/2024,26/3/2022,Sim,Não,Não
54,HP 1015,15/1/2024,15/2/2022,Sim,Não,Não
55,HP M1212nf,23/4/2024,26/5/2020,Não,Sim,Não
56,HP Pro M127fn,20/7/2024,6/9/2020,Não,Sim,Não
57,Brother 7065dn,27/9/2024,26/7/2023,Não,Não,Sim
58,HP MFP M225dw,12/8/2024,28/11/2021,Não,Sim,Não
59,HP P2055dn,10/3/2024,19/12/2020,Sim,Não,Não
